"Date","Price","Open","High","Low","Vol.","Change %"
"25-09-2023","12,048.95","12,077.75","12,096.30","12,023.60","","0.09%"
"22-09-2023","12,038.45","12,062.90","12,105.25","11,946.20","","0.01%"
"21-09-2023","12,036.70","12,162.35","12,215.60","12,009.30","","-1.11%"
"20-09-2023","12,171.70","12,226.15","12,271.60","12,113.50","","-0.57%"
"18-09-2023","12,241.25","12,344.80","12,352.20","12,223.60","","-0.49%"
"15-09-2023","12,301.65","12,339.60","12,368.75","12,273.55","","0.26%"
"14-09-2023","12,269.60","12,201.30","12,299.95","12,199.45","","1.22%"
"13-09-2023","12,121.20","12,019.00","12,156.75","11,870.40","","0.98%"
"12-09-2023","12,003.00","12,563.45","12,573.30","11,974.15","","-3.88%"
"11-09-2023","12,487.55","12,465.75","12,503.85","12,462.25","","0.97%"
"08-09-2023","12,367.00","12,363.80","12,389.90","12,291.95","","0.61%"
"07-09-2023","12,291.95","12,268.00","12,313.80","12,223.30","","0.56%"
"06-09-2023","12,223.30","12,267.25","12,284.20","12,186.80","","0.06%"
"05-09-2023","12,216.25","12,212.10","12,264.00","12,139.85","","0.63%"
"04-09-2023","12,139.85","12,100.95","12,169.60","12,017.15","","1.02%"
"01-09-2023","12,017.15","11,976.70","12,031.65","11,959.90","","0.72%"
"31-08-2023","11,931.20","11,865.15","11,948.80","11,836.80","","1.04%"
"30-08-2023","11,807.90","11,781.85","11,829.10","11,771.05","","0.88%"
"29-08-2023","11,705.25","11,677.50","11,718.10","11,676.80","","0.67%"
"28-08-2023","11,627.30","11,612.50","11,645.35","11,590.00","","0.68%"
"25-08-2023","11,548.90","11,561.35","11,612.10","11,468.10","","-0.24%"
"24-08-2023","11,576.95","11,664.50","11,682.55","11,566.05","","-0.13%"
"23-08-2023","11,591.55","11,552.80","11,613.60","11,551.50","","0.71%"
"22-08-2023","11,509.70","11,477.60","11,520.45","11,472.95","","0.67%"
"21-08-2023","11,432.65","11,392.75","11,442.80","11,375.30","","0.83%"
"18-08-2023","11,338.05","11,375.15","11,415.80","11,317.15","","-0.29%"
"17-08-2023","11,370.95","11,377.35","11,426.70","11,356.45","","0.18%"
"16-08-2023","11,350.20","11,289.65","11,359.60","11,270.95","","0.42%"
"14-08-2023","11,302.85","11,369.95","11,371.80","11,176.10","","-0.65%"
"11-08-2023","11,376.50","11,449.30","11,454.25","11,361.70","","-0.27%"
"10-08-2023","11,406.80","11,462.25","11,487.35","11,387.90","","-0.25%"
"09-08-2023","11,435.95","11,402.85","11,452.55","11,368.20","","0.57%"
"08-08-2023","11,371.55","11,390.30","11,396.00","11,300.30","","0.16%"
"07-08-2023","11,353.10","11,395.50","11,401.95","11,333.30","","0.31%"
"04-08-2023","11,317.75","11,303.75","11,363.90","11,301.85","","0.62%"
"03-08-2023","11,247.50","11,224.40","11,286.95","11,168.00","","0.14%"
"02-08-2023","11,232.10","11,387.20","11,397.55","11,137.30","","-1.28%"
"01-08-2023","11,377.65","11,403.05","11,420.50","11,359.75","","0.20%"
